date,kor_title,eng_title,grammar,grammar_desc
20171204,저는 유양이에요.,I'm Yooyang.,N은/는¹ N이에요/예요.,"N is the noun. '은/는' is used with a noun to denote the topic or theme of a sentence. When the noun ends in a consonant, use '-은', and when the noun ends in a vowel, use '-는'. 'N이에요/예요' is attached to the end of a noun to make the noun function like a verb in regular conversation. When the noun ends in a consonant, use '이에요', and when the noun ends in a vowel, use '예요'."
20171205,유양 씨는 중국 사람이에요?,"Ms. Yooyang, are you Chinese?",N은/는 N이에요/예요?,It is the interrogative form of 'N은/는 N이에요/예요'.
20171206,저는 학생이 아니에요.,I'm not a student.,N은/는 N이/가¹ 아니에요.,"It is the negation of 'N은/는 N이에요/예요'. When the noun ends in a consonant, use '이 아니다'. When the noun ends in a vowel, use '가 아니다'."
20171207,저 사람은 흐엉 씨예요.,That person is Ms. Huong.,이/그/저 N은/는 N이에요/예요.,"이' is used in front of a noun to refer to something close to the speaker.(ex: 이 책-this book, 이 사람-this person, 이것-this, 이쪽-here)                                                                                                                                        '그' is used in front of a noun to refer to something close to the listener.(ex: 그 책-the book, 그 사람-the person, 그것-the thing, 그쪽-there)                                                                                                                                      '저' is used with a noun to refer to something that is far from both the speaker and the listener.(ex: 저 책-that book, 저 사람-that person, 저것-that, 저쪽-over there)"
20171208,다니엘 씨는 스티브 씨의 남동생이에요.,Mr. Daniel is Mr. Steve's younger brother.,N은/는 N의 N이에요/예요.,의' is the particle used to make possessive form. It can be omitted. (ex : Ms. Yooyang's friend is British.-유양 씨(의) 친구는 영국 사람이에요.)
20171209,흐엉 씨가 회사원이에요.,Huong is an office worker.,N이/가² N이에요/예요.,'이/가' is used with a noun to indicate that the noun is the subject of the sentence. It can be omitted depending on the context. 
20171211,아파트의 이름이 뭐예요?,What is the name of your apartment?,N이/가 N이에요/예요?,It is the interrogative form of 'N이/가 N이에요/예요'.
20171212,헬스클럽이 아주 넓어요.,The fitness club is very large.,N이/가 Vst어요.(Vst어요?),"It is used to describe the state or action of a subject. 'Vst' is the stem of the basic form of the action verb or the descriptive verb without '-다' (e.g. 울다-울, 예쁘다-예쁘). '-어요' is an informal polite ending suffix used in a declarative, interrogative, imperative or suggestion sentence in regular conversation. When the action verb stem or the descriptive verb stem ends in vowels except 'ㅏ,ㅑ,ㅗ', use '-어요'."
20171213,집이 작아요.,My house is small.,N이/가 Vst아요.(Vst아요?),"It is used to describe the state or action of a subject. '-아요' is an informal polite ending suffix used in a declarative, interrogative, imperative or suggestion sentence in regular conversation. When the action or descriptive verb stem ends in 'ㅏ,ㅑ,ㅗ', use '-아요'."
20171214,방에 창문이 있어요.,There is a window in the room.,N에¹ N이/가 있어요.,"에' is used with a place noun to indicate a location of a person or thing. It is used  with the state verb such as '있다 (there is), 없다 (there is not), 많다 (there is a lot), 적다 (there is a little)' or action verb such as '앉다 (sit), 살다 (live), 놓다 (place), 넣다 (put), 쓰다 (write)'."
20171215,집에 애완동물이 있어요?,Is there a pet in your house?,N에 N이/가 있어요?,It is the interrogative form of 'N에 N이/가 있어요.'.
20171216,베란다에 의자가 없어요.,There is no chair on the veranda.,N에 N이/가 없어요.,It is the negation of 'N에 N이/가 있어요.'.
20171218,회사가 어디에 있어요?,Where is your company?,N이/가 어디에 있어요?,It is used to ask the location of a noun.
20171219,엘리베이터는 저쪽에 있어요.,The elevator is over there.,N은/는 N에 있어요.,It is a similar expression of 'N이/가 N에 있어요.'. The noun in front of '은/는' is the topic or theme of the sentence.
20171220,휴게실은 오 층하고 십 층에 있어요.,The lounges are on the fifth and tenth floors.,N하고¹ N,It is used with a noun to link more than two nouns.
20171221,복사기는 창문 앞에 있어요.,The copy machine is in front of the window.,"N은/는 N 앞(옆, 안, 위...)에 있어요/없어요.","It is used to express the location . The nouns which indicates the location are '앞'(front), '뒤'(back), '위'(on), '옆'(next to), '아래'(under), '근처'(near), '안'(in), '밖'(out), etc."
20171222,사무실에 책상이 스무 개 있어요.,There are twenty desks in the office.,"N에 N이/가 한(두, 세…) N 있어요.","The counting units differ in terms of noun. '한, 두, 세, 네,..' or '일, 이, 삼, 사...' is used according to the following noun. When there is no following noun, '하나, 둘, 셋, 넷...' is used to count."
20171223,사무실에 직원이 몇 명 있어요?,How many employees are there in the office?,N이/가 몇 N 있어요?,It is used to ask the quantity. '몇' is used in front of a countable noun.
20171225,저는 여동생이 있어요.,I have a younger sister.,N은/는 N이/가 있어요/없어요.,It is used to indicate whether the previous noun possesses the latter noun or not. 
20171226,누나도 있어요.,"I have an elder sister, too.",N도,It is used with a noun to enumerate the same thing or similar one.
